-1.0174e-02	9.3938e-01	2.9260e+00	8.6517e-01	4.9767e+00	4.0306e-01	2.0733e-01	2.1990e-01	
7.3508e-02	6.1926e-01	5.2828e-01	1.3628e-01	4.9824e+00	4.1592e-01	5.5159e-02	2.5069e-01	
1.5873e-02	6.9023e-01	9.0538e-01	2.9595e-01	5.0232e+00	5.7051e-01	2.9026e-01	2.6316e-01	
-7.3141e-02	8.9778e-01	2.8218e+00	3.8771e-01	5.1627e+00	4.0165e-01	9.8167e-02	2.7904e-01	
-8.2976e-03	6.8429e-01	7.0083e-01	4.5410e-01	5.0367e+00	5.1865e-01	1.5712e-01	2.9917e-01	
1.0156e-02	9.4509e-01	2.3036e+00	9.5413e-01	5.1349e+00	4.9492e-01	2.9928e-01	1.5377e-01	
1.3735e-02	5.4793e-01	7.5333e-01	7.2082e-01	5.1612e+00	4.7794e-01	2.8735e-01	3.0189e-02	
2.6350e-03	9.4089e-01	1.0492e+00	7.7792e-01	5.0225e+00	5.0881e-01	2.7587e-01	2.0303e-01	
9.3290e-02	7.8409e-01	2.4776e+00	7.0379e-01	5.1455e+00	4.7706e-01	1.8462e-01	2.1542e-01	
-9.4233e-02	5.8460e-01	8.8759e-01	5.5705e-02	4.9352e+00	5.4886e-01	1.3454e-02	6.4595e-02	
3.3752e-02	9.3605e-01	1.6622e+00	5.0420e-01	5.0795e+00	4.9284e-01	2.3068e-01	2.5857e-01	
-4.4613e-02	8.4045e-01	2.1920e+00	9.2923e-01	5.1147e+00	5.8296e-01	1.5109e-01	1.7236e-01	
-4.6813e-02	5.7131e-01	1.6493e+00	4.1411e-01	5.0160e+00	5.6286e-01	1.7310e-02	2.8410e-01	
-2.0426e-02	9.8904e-01	5.9201e-01	3.4161e-01	5.1308e+00	4.8741e-01	4.7663e-02	2.0867e-01	
-5.1811e-02	5.6367e-01	2.9562e+00	1.0381e-01	5.0472e+00	5.3041e-01	2.7300e-02	2.9547e-01	
-1.4417e-02	5.9358e-01	1.6944e+00	1.6938e-01	4.9661e+00	5.5699e-01	1.8846e-01	2.9202e-02	
-3.6543e-02	5.5481e-01	2.2350e+00	3.6559e-02	5.1765e+00	4.1368e-01	1.9589e-01	1.4330e-01	
-9.8177e-02	6.4861e-01	3.9060e-01	5.6042e-01	5.1250e+00	4.7311e-01	2.3260e-01	1.2531e-01	
-7.9163e-02	9.3076e-01	2.5611e+00	4.8624e-01	5.0032e+00	5.2208e-01	2.6453e-01	1.7707e-01	
5.9610e-02	7.4801e-01	8.0184e-01	6.7758e-01	4.9262e+00	4.3780e-01	1.8874e-01	1.9825e-01	
